Date,Open,High,Low,Close,Adj Close,Volume
2015-12-23,1380.000000,1413.699951,1356.199951,1381.699951,1300.763794,10984341
2015-12-24,1388.000000,1543.949951,1385.000000,1523.750000,1434.492920,5450848
2015-12-28,1532.699951,1540.500000,1434.099976,1468.400024,1382.385132,2046162
2015-12-29,1469.849976,1493.000000,1434.000000,1465.550049,1379.702026,1333944
2015-12-30,1478.000000,1489.900024,1444.000000,1458.250000,1372.829590,622721
2015-12-31,1460.000000,1496.599976,1442.500000,1485.250000,1398.248047,774495
2016-01-01,1495.000000,1519.000000,1480.000000,1503.099976,1415.052490,508347
2016-01-04,1499.900024,1580.000000,1485.000000,1530.150024,1440.517944,1350429
2016-01-05,1538.000000,1588.900024,1533.599976,1567.699951,1475.868286,658233
2016-01-06,1556.000000,1582.000000,1518.000000,1527.000000,1437.552490,594918
2016-01-07,1504.000000,1514.900024,1458.449951,1467.349976,1381.396729,349010
2016-01-08,1480.000000,1503.900024,1470.000000,1477.199951,1390.669800,190247
2016-01-11,1463.400024,1484.800049,1449.750000,1475.699951,1389.257324,187799
2016-01-12,1481.000000,1492.000000,1465.000000,1474.300049,1387.939453,143904
2016-01-13,1478.000000,1488.650024,1364.000000,1415.750000,1332.819214,353619
2016-01-14,1397.000000,1463.000000,1370.000000,1435.800049,1351.694824,395952
2016-01-15,1444.199951,1470.000000,1422.000000,1431.650024,1347.788086,257237
2016-01-18,1421.000000,1421.050049,1332.250000,1344.599976,1265.837036,635080
2016-01-19,1355.000000,1375.000000,1281.000000,1330.400024,1252.468750,467691
2016-01-20,1320.000000,1357.099976,1301.000000,1322.800049,1245.313965,332152
2016-01-21,1339.000000,1375.000000,1338.000000,1368.599976,1288.431152,197466
2016-01-22,1385.000000,1399.800049,1315.500000,1366.800049,1286.736694,166387
2016-01-25,1373.800049,1377.800049,1350.000000,1356.849976,1277.369385,120355
2016-01-27,1364.699951,1364.699951,1331.050049,1339.500000,1261.035522,90193
2016-01-28,1334.000000,1362.000000,1330.000000,1350.099976,1271.014648,116177
2016-01-29,1343.000000,1371.000000,1343.000000,1358.800049,1279.205200,136274
2016-02-01,1361.000000,1384.400024,1342.599976,1373.449951,1292.997070,145523
2016-02-02,1382.800049,1430.900024,1368.800049,1372.699951,1292.290771,141659
2016-02-03,1361.000000,1387.599976,1355.500000,1373.300049,1292.855591,78557
2016-02-04,1380.199951,1394.000000,1339.000000,1347.500000,1268.567139,127453
2016-02-05,1345.000000,1350.500000,1330.000000,1338.050049,1259.670898,31085
2016-02-08,1345.000000,1354.750000,1316.199951,1323.349976,1245.831909,38022
2016-02-09,1310.000000,1344.400024,1300.000000,1338.400024,1260.000122,42425
2016-02-10,1337.900024,1340.000000,1290.000000,1320.900024,1243.525146,50038
2016-02-11,1320.000000,1328.000000,1252.599976,1275.800049,1201.067017,123980
2016-02-12,1276.050049,1389.750000,1255.000000,1319.750000,1242.442749,518016
2016-02-15,1359.500000,1359.500000,1292.050049,1314.949951,1237.923584,130223
2016-02-16,1320.000000,1333.000000,1291.349976,1309.599976,1232.887085,85016
2016-02-17,1312.000000,1327.250000,1286.000000,1317.900024,1240.700928,143402
2016-02-18,1315.500000,1334.250000,1302.199951,1308.599976,1231.945801,46411
2016-02-19,1305.000000,1323.000000,1295.000000,1310.349976,1233.593384,75666
2016-02-22,1310.000000,1316.949951,1270.000000,1281.599976,1206.527344,71363
2016-02-23,1287.099976,1320.000000,1282.000000,1310.000000,1233.263916,124252
2016-02-24,1305.000000,1307.900024,1271.000000,1279.099976,1204.173950,50434
2016-02-25,1282.300049,1285.000000,1260.000000,1272.150024,1197.630737,30759
2016-02-26,1282.000000,1289.900024,1227.000000,1279.550049,1204.597534,41075
2016-02-29,1279.800049,1280.000000,1252.550049,1264.650024,1190.569946,20747
2016-03-01,1267.150024,1321.449951,1261.150024,1315.199951,1238.159058,61308
2016-03-02,1324.000000,1327.099976,1296.449951,1301.099976,1224.885010,37130
2016-03-03,1312.099976,1329.900024,1294.050049,1307.150024,1230.580688,127326
2016-03-04,1310.000000,1347.000000,1302.849976,1311.300049,1234.487549,55849
2016-03-08,1345.000000,1379.000000,1325.000000,1342.599976,1263.954102,119691
2016-03-09,1345.000000,1355.000000,1326.000000,1345.750000,1266.919800,40059
2016-03-10,1358.000000,1359.000000,1341.000000,1348.199951,1269.225952,30565
2016-03-11,1341.000000,1372.000000,1339.900024,1367.199951,1287.113159,54502
2016-03-14,1350.000000,1366.849976,1318.300049,1354.000000,1274.686523,93659
2016-03-15,1354.000000,1369.800049,1345.050049,1356.199951,1276.757446,30214
2016-03-16,1365.000000,1365.000000,1344.000000,1356.250000,1276.804688,22480
2016-03-17,1365.000000,1389.699951,1336.599976,1350.849976,1271.720703,46550
2016-03-18,1355.000000,1385.000000,1326.300049,1374.949951,1303.770996,105456
2016-03-21,1386.849976,1388.000000,1345.000000,1350.300049,1280.397339,27507
2016-03-22,1353.000000,1370.000000,1340.900024,1362.500000,1291.965454,67466
2016-03-23,1352.000000,1366.949951,1349.000000,1355.800049,1285.612671,61753
2016-03-28,1360.000000,1393.000000,1352.500000,1387.300049,1315.481934,92882
2016-03-29,1394.500000,1418.000000,1345.849976,1410.349976,1337.338623,226373
2016-03-30,1418.000000,1421.000000,1365.099976,1371.099976,1300.120361,68085
2016-03-31,1377.000000,1381.000000,1350.000000,1356.449951,1286.228882,57439
2016-04-01,1282.000000,1335.000000,1270.000000,1327.550049,1258.825073,288351
2016-04-04,1334.000000,1369.550049,1298.000000,1355.150024,1284.996338,168161
2016-04-05,1351.000000,1365.849976,1325.050049,1333.400024,1264.371948,28090
2016-04-06,1332.000000,1354.000000,1309.000000,1313.400024,1245.407471,40140
2016-04-07,1328.900024,1341.900024,1317.099976,1337.800049,1268.544434,74984
2016-04-08,1336.500000,1356.449951,1330.099976,1340.900024,1271.483765,20874
2016-04-11,1352.000000,1352.000000,1324.400024,1329.550049,1260.721558,21031
2016-04-12,1333.000000,1342.949951,1328.199951,1333.900024,1264.846069,9640
2016-04-13,1335.199951,1350.000000,1335.000000,1339.000000,1269.682373,14050
2016-04-18,1266.000000,1287.000000,1236.400024,1276.800049,1210.702271,319467
2016-04-20,1281.000000,1296.900024,1255.000000,1273.099976,1207.193481,66906
2016-04-21,1293.000000,1294.400024,1209.400024,1242.050049,1177.751099,294279
2016-04-22,1244.400024,1254.949951,1201.250000,1233.800049,1169.928223,32915
2016-04-25,1234.150024,1247.949951,1221.000000,1226.699951,1163.195923,34850
2016-04-26,1226.000000,1230.000000,1205.050049,1221.800049,1158.549561,42982
2016-04-27,1228.000000,1230.000000,1194.000000,1211.449951,1148.735107,177077
2016-04-28,1219.800049,1219.800049,1190.000000,1192.099976,1130.386963,74937
2016-04-29,1193.000000,1208.949951,1181.000000,1190.949951,1129.296387,42594
2016-05-02,1152.500000,1282.800049,1152.500000,1249.300049,1184.626221,174739
2016-05-03,1259.800049,1259.800049,1221.199951,1228.500000,1164.902588,29703
2016-05-04,1215.000000,1246.000000,1215.000000,1225.449951,1162.010376,24464
2016-05-05,1215.000000,1250.000000,1215.000000,1242.550049,1178.225342,42144
2016-05-06,1240.500000,1257.699951,1235.000000,1245.199951,1180.737915,27750
2016-05-09,1241.000000,1253.000000,1232.400024,1247.750000,1183.156006,30809
2016-05-10,1248.000000,1248.400024,1225.000000,1227.250000,1163.717285,18824
2016-05-11,1229.000000,1246.000000,1200.000000,1204.500000,1142.145264,54988
